participant-ID,age,formative-years,gender,nationality,occupation,attentiveMusic,casualMusic,musicYears,musicSinger,musicMistakes,musicDifferences,musicOutOfTime,musicOutOfTune,musicMusician,musicProduction,musicImportance,musicActivities,musicAddiction,musicNewMusic,musicSearch,musicGenre,musicEvoke,musicMemories,musicShiver,musicExcite,musicTalk
_6pyclh0uk,55-64,England,Personal,British,full-time-employment,2-4 hrs,4+ hrs,10,mostly-agree,mostly-agree,mostly-agree,strongly-agree,mostly-agree,strongly-agree,strongly-agree,10,mostly-agree,mostly-agree,mostly-agree,mostly-agree,everything.  Apart from Country and death metal,mostly-agree,mostly-agree,mostly-agree,mostly-agree,sort-of-agree
_712wd9nfj,18-24,UK,Female,British,full-time-employment,0-15,30-60,0-1,sort-of-agree,sort-of-disagree,mostly-agree,mostly-agree,mostly-agree,strongly-disagree,strongly-disagree,6,mostly-agree,not-sure,sort-of-agree,sort-of-disagree,indie soul,sort-of-disagree,mostly-agree,mostly-agree,mostly-agree,mostly-agree
_7jm0obbi1,25-34,United Kingdom,Female,British/Swiss,full-time-employment,0-15,15-30,2-4,mostly-agree,mostly-agree,strongly-agree,mostly-agree,mostly-agree,strongly-disagree,mostly-agree,6,sort-of-disagree,not-sure,mostly-agree,sort-of-agree,Country or Soul,mostly-agree,strongly-disagree,sort-of-agree,mostly-agree,sort-of-agree
_7twr1orir,25-34,,,,university,1-2hrs,2-4 hrs,4-6,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree,sort-of-agree,8,sort-of-agree,mostly-agree,sort-of-agree,sort-of-agree,na,sort-of-disagree,mostly-agree,sort-of-agree,mostly-agree,mostly-agree
_87gyh97l5,18-24,China,female,China,university,0-15,15-30,4-6,sort-of-agree,mostly-agree,mostly-agree,sort-of-agree,sort-of-agree,mostly-agree,sort-of-agree,10,mostly-agree,mostly-agree,mostly-agree,mostly-agree,rock,mostly-agree,mostly-agree,mostly-agree,mostly-agree,mostly-agree
_8x1wc3nr6,45-54,UK,Female,British,full-time-parent,15-30,1-2hrs,6-10,mostly-agree,sort-of-disagree,strongly-agree,strongly-agree,strongly-agree,not-sure,mostly-agree,7,sort-of-disagree,sort-of-agree,not-sure,sort-of-disagree,Indie Jazz,mostly-agree,sort-of-agree,sort-of-agree,sort-of-agree,sort-of-agree
_8yvh3dx5e,25-34,England,Female,British,full-time-employment,15-30,15-30,6-10,sort-of-agree,sort-of-disagree,strongly-agree,strongly-agree,strongly-agree,not-sure,strongly-disagree,9,strongly-agree,mostly-agree,sort-of-agree,sort-of-disagree,downtempo,sort-of-disagree,strongly-agree,sort-of-agree,strongly-agree,sort-of-agree
_927wmmd5y,18-24,UK,Female/non-binary,British,part-time-employment,15-30,1-2hrs,0-1,strongly-agree,strongly-disagree,mostly-agree,mostly-agree,mostly-agree,not-sure,strongly-disagree,10,sort-of-agree,mostly-agree,mostly-agree,sort-of-disagree,Hip-hop,strongly-disagree,strongly-agree,sort-of-agree,strongly-agree,mostly-agree
_92wls1kek,25-34,United Kingdom,He/Him,British,self-employment,4+ hrs,4+ hrs,10,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Art,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_9j47al7db,25-34,China and UK,Male,Chinese,at-school,30-60,4+ hrs,2-4,strongly-agree,strongly-disagree,strongly-agree,strongly-agree,strongly-agree,sort-of-agree,strongly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,"Rock,Pop",strongly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_9w25vtbrx,25-34,Portugal,Male,Portuguese,university,30-60,2-4 hrs,10,strongly-agree,mostly-agree,mostly-agree,strongly-agree,strongly-agree,mostly-agree,mostly-agree,10,strongly-agree,strongly-agree,strongly-agree,strongly-agree,Metal,strongly-disagree,strongly-agree,sort-of-agree,mostly-agree,strongly-agree
_afqhhj8is,35-44,France,male,French,full-time-employment,15-30,1-2hrs,2-4,strongly-agree,strongly-disagree,strongly-agree,most-agree,strongly-agree,sort-of-agree,strongly-agree,10,mostly-agree,mostly-agree,sort-of-disagree,strongly-agree,black metal,mostly-agree,strongly-agree,strongly-agree,strongly-agree,strongly-agree
_aitz8t13k,25-34,United Kingdom,Male,British,university,0-15,2-4 hrs,0-1,sort-of-agree,mostly-agree,sort-of-disagree,sort-of-disagree,sort-of-agree,strongly-disagree,strongly-disagree,8,strongly-disagree,mostly-agree,sort-of-agree,sort-of-disagree,Indie,strongly-disagree,sort-of-agree,mostly-agree,mostly-agree,mostly-agree
